name,justify
李曙光, 地球化学家，主要从事富铁矿床地球化学研究。1941年2月15日生于陕西咸阳。1965年毕业于中国科学技术大学地球化学专业。2003年当选为中国科学院院士。
李献华, 同位素地球化学家，主要从事大陆形成和演化的同位素年代学和地球化学理论研究和微区同位素分析新技术研发。1961年7月生于江苏省南京市。1983年毕业于中国科学技术大学地球和空间科学系，获该校学士学位，1988年于中国科学院地球化学研究所获博士学位。2019年当选为中国科学院院士。
李廷栋, 地质学家，主要从事区域地质研究和地质编图。1930年10月7日生于河北栾城。1953年毕业于北京地质学院。1993年当选为中国科学院院士。
林学钰, 水文地质和环境水文地质学家，主要从事地下水管理模型的理论与方法研究。1937年3月6日生于上海。1957年毕业于长春地质学院水文地质及工程地质系。1997年当选为中国科学院院士。
刘宝珺, 地质学家，主要从事沉积地质学、矿床学、油气储层地质学等领域研究。1931年9月13日生于天津。1953年毕业于北京地质学院，1956年该校岩石学专业研究生毕业。1991年当选为中国科学院学部委员(院士)。
刘昌明, 水文水资源学家，主要从事生态与水文和水资源学的水循环、产流模式、水文实验、农业水文、森林水文、全球变化的环境水文等领域研究。1934年5月10日生于湖南长沙。1956年毕业于西北大学。1995年当选为中国科学院院士。
刘丛强, 地球化学家，主要从事地表地球化学过程及其生态环境效应和微量元素和同位素地球化学基础理论和应用两个方面的系统研究。1955年9月11日生于贵州省遵义市。1982年2月于南京大学地球科学系毕业，获理学学士学位。1984年12月于中国科学院地球化学研究所，获理学硕士学位。1986年5月留学日本，先后在日本理化学研究所做访问学者，日本东京大学理学部化学系攻读博士学位。2011年当选为中国科学院院士。
刘嘉麒, 火山地质与第四纪地质学家，主要从事火山学、第四纪地质环境学等领域研究。1941年5月29日生于辽宁丹东。1965年毕业于长春地质学院，1967年该院研究生毕业。1986年获中国科技大学研究生院理学博士学位。2003年当选为中国科学院院士。
陆大道, 经济地理学家，长期从事经济地理学和国土开发、区域发展问题研究。1940年10月22日生于安徽桐城。1963年毕业于北京大学地质地理系。2003年当选为中国科学院院士。
吕达仁, 大气物理学家，主要从事大气与地球系统科学基础与高技术研究。1940年1月14日生于上海。1962年毕业于北京大学，1966年中国科学院研究生毕业。2005年当选为中国科学院院士。
马宗晋, 地质学家，主要从事地质构造、地震预报、地球动力学研究。1933年1月4日生于吉林长春。1955年毕业于北京地质学院普查系。1961年中国科学院地质研究所研究生毕业。1991年当选为中国科学院学部委员(院士)。
莫宣学, 岩石学家，主要从事岩浆热力学基础研究领域研究。1938年12月生于广西融水。1960年毕业于北京地质学院（现中国地质大学）地质系。2009年当选为中国科学院院士。
穆穆, 大气动力学家，主要从事大气-海洋动力学及天气与气候的可预报性研究。1954年8月31日出生于安徽定远。1978年毕业于安徽大学，1982年获该校理学硕士学位，1985年获复旦大学理学博士学位。2007年当选为中国科学院院士。
欧阳自远, 天体化学与地球化学家，主要从事地球与行星科学研究。1935年10月9日生于江西吉安。1956年毕业于北京地质学院。1961年中国科学院地质研究所研究生毕业。1991年当选为中国科学院学部委员(院士)。
潘永信, 地球物理学家，长期从事古地磁学和生物地磁学研究。1964年5月出生于山西省运城市。1985年毕业于武汉地质学院，1988年在该校获硕士学位，1998年于中国科学院地球物理研究所获博士学位。2017年当选为中国科学院院士。
彭建兵, 工程地质与灾害地质学家，主要从事工程地质与灾害地质方面的科研教学工作。1953年4月生于湖北麻城。1999年毕业于西安工程学院（现长安大学）水文地质工程地质系，获博士学位。2019年当选为中国科学院院士。
彭平安, 有机地球化学家，长期从事地质体有机质地球化学研究。1960年11月15日出生。1982年毕业于浙江大学，1991年在中国科学院地球化学研究所获博士学位。2013年当选为中国科学院院士。
朴世龙, 自然地理学家、生态系统生态学家，主要从事陆地生态系统与气候变化互馈作用研究。1976年4月出生于吉林省龙井市。1999年毕业于北京大学，2004年获该校博士学位。2021年当选为中国科学院院士。
秦大河, 地理学家，长期从事冰冻圈与全球变化研究。1947年1月出生于甘肃省兰州市。1970年毕业于兰州大学地质地理系自然地理专业，1992年获理学博士学位。2003年当选为中国科学院院士。
邱占祥, 古生物学家，主要从事新生代地层和古哺乳动物研究。1936年3月10日生于山东青岛。1960年毕业于前苏联莫斯科大学地质系，1984年获德国美茵兹古登堡大学理学博士学位。2005年当选为中国科学院院士。
任纪舜, 地质学家，长期从事中国大地构造研究。1935年2月6日生于陕西华阴。1955年毕业于西北大学地质系。1997年当选为中国科学院院士。
戎嘉余, 地层古生物学家，主要从事早、中古生代腕足动物系统分类、群落生态和生物地理及相关地层学研究。1941年12月生于上海。1962年毕业于北京地质学院，1966年中国科学院南京地质古生物研究所研究生毕业。1997年当选为中国科学院院士。
邵明安, 土壤物理学家，主要从事土壤水动力学、溶质迁移、土壤水植被定量关系等研究。1956年11月出生于湖南常德。1982年毕业于湖南师范大学物理系，1985年在中国科学院西北水土保持研究所（现合并于西北农林科技大学）获硕士学位，1996年在IOWA州立大学获博士学位。2017年当选为中国科学院院士。
沈树忠, 地层古生物学家，主要从事二叠纪地层学、二叠纪末生物大灭绝、腕足动物古生物学等领域研究。1961年10月生于浙江省湖州市。1981年毕业于浙江煤炭工业学校，1986年和1989年分别获中国矿业大学硕士和博士学位。2015年当选为中国科学院院士。
石广玉, 大气物理学家，主要从事大气辐射及全球气候变化的理论和观测研究。1942年10月生于山东省淄博市，1968年毕业于山东大学物理系，1982年于日本东北大学获理学博士学位。2011年当选为中国科学院院士。
石耀霖, 地球物理学家，主要从事地球动力学、构造运动、空隙流体流动和热传递耦合过程热模拟等研究。1944年2月10日生于广西桂林。1966年毕业于中国科学技术大学。1986年在美国伯克利加州大学获博士学位。2001年当选为中国科学院院士。
舒德干, 进化古生物学家，主要从事澄江动物群及寒武纪大爆发研究。1946年2月生于湖南湘潭。1969年毕业于北京大学，1981年获西北大学硕士学位，1987年获中国地质大学（北京）博士学位。2011年当选为中国科学院院士。
苏纪兰, 物理海洋学家，主要从事黑潮对中国近海环流的影响研究。1935年12月31日生于湖南攸县。1957年毕业于台湾大学。1967年获美国加州大学伯克利分校博士学位。1991年当选为中国科学院学部委员(院士)。
孙和平, 大地测量和地球物理学家，主要从事地球动力学与微小形变的高精度重力信号检测、理论模拟和力学机制解释等研究。1955年8月出生于江苏省无锡市江阴县。1980年本科毕业于中国科学技术大学地球和空间科学学院，1995年研究生毕业于比利时鲁汶大学理学院地球物理专业获博士学位。2019年当选为中国科学院院士。
孙鸿烈, 土壤地理与土地资源学家，长期从事农业自然资源及区域综合开发方面的研究。1932年1月31日生于北京。1954年北京农业大学土壤农化系毕业。1960年中国科学院沈阳林业土壤研究所研究生毕业。1991年当选为中国科学院学部委员(院士)。
谈哲敏, 大气动力学学家，主要从事大气动力学、台风动力学与大气可预报性理论等研究。1965年1月出生于江苏省宜兴市。1986年毕业于南京大学，1989、2000年分别获该校硕士、博士学位。2021年当选为中国科学院院士。
陶澍, 环境科学家，主要从事环境地理学研究。1950年8月14日生于上海市。1977年毕业于北京大学，1981年获美国堪萨斯大学土木系－地质系环境科学与健康硕士学位，1984年获美国堪萨斯大学土木系－地质系环境科学与健康博士学位。2009年当选为中科院院士。
滕吉文, 地球物理学家，长期从事岩石圈物理学研究。1934年3月14日生于黑龙江哈尔滨。1956年毕业于东北地质学院地球物理系。1962年获苏联科学院大地物理研究所物理－数学副博士学位。1999年当选为中国科学院院士。
童庆禧, 遥感学家，主要从事气候学、太阳辐射和地物遥感波谱特征研究。1935年10月21日生于湖北武汉。1961年毕业于苏联敖德萨水文气象学院。1997年当选为中国科学院院士。
涂传诒, 空间物理学家，主要从事空间物理学、太阳风湍流、太阳风动力学与日球层物理等领域研究。1940年7月24日生于北京。1964年毕业于北京大学。2001年当选为中国科学院院士。
汪集旸, 地热、水文地质学家，长期从事地热理论和应用研究。1935年10月11日生于江苏吴江。1956年毕业于北京地质学院水文与工程地质系。1962年7月在莫斯科地质勘探学院获苏联地质矿物学副博士学位。1995年当选为中国科学院院士。
汪品先, 海洋地质学家，长期从事我国海域古海洋学、海洋微体古生物学和我国环境宏观演化的研究。1936年11月14日生于江苏苏州。1960年毕业于莫斯科大学地质系。1991年当选为中国科学院学部委员(院士)。
王赤, 空间物理学家，主要从事空间物理和空间天气研究。1967年2月出生于湖南省邵阳市。1990年毕业于中国科学技术大学，1992年于中国科学院空间科学与应用中心获硕士学位，1998年于美国麻省理工学院获博士学位。2019年当选为中国科学院院士。
王成善, 地质学家，主要从事沉积学等方面的研究和教学工作。1951年11月2日生于黑龙江省哈尔滨市。1981年研究生毕业于成都地质学院（现成都理工大学）并获硕士学位。2013年当选为中国科学院院士。
王德滋, 岩石学家，长期从事火山岩与花岗岩研究。1927年6月27日生于江苏泰兴。1950年毕业于南京大学地质系。1997年当选为中国科学院院士。
王会军, 大气科学家，长期从事古气候模拟、气候变化和气候预测理论等方面的研究。1964年1月4日出生于黑龙江省桦川县。1986年毕业于北京大学，1991年在中科院大气所获博士学位。2013年当选为中国科学院院士。
王水, 空间物理学家，主要从事中国哨声和甚低频发射观测研究。1942年4月12日生于江苏南京。1961年毕业于南京大学气象系。1993年当选为中国科学院院士。
王铁冠, 分子有机地球化学家与石油地质学家，主要从事生物标志物、油藏地球化学与石油地质学的教学与科研工作。1937年12月4日生于上海市。1965年毕业于北京石油学院。2005年当选为中国科学院院士。
王焰新, 水文地质学家，主要从事水文地球化学、水污染控制、地下水污染及防治等领域的研究。1963年11月生于湖北省宜昌市。1984年本科毕业于南京大学地质学系，1987年于中国地质大学获硕士学位，1990年于该校获博士学位。2019年当选为中国科学院院士。
王颖, 海岸海洋地貌与沉积学家，长期从事具有地域特点的淤泥潮滩海岸、鼓丘海岸以及河海体系与大陆架沉积等方面研究并作出贡献。1935年2月24日生于河南潢川。1956年毕业于南京大学。1961年北京大学地质地理系副博士研究生毕业。2001年当选为中国科学院院士。
魏奉思, 空间物理学家，主要从事空间天气研究。1941年11月24日生于四川绵阳。1963年毕业于中国科技大学。2005年当选为中国科学院院士。
吴福元, 岩石学家，主要从事花岗岩成因与大陆动力学研究。1962年8月生于安徽省庐江县。1984年毕业于长春地质学院，1987年和1990年分别获该校岩石学硕士和博士学位。2015年当选为中国科学院院士。
吴国雄, 大气动力学和气候动力学家，从事天气、气候动力学，大气环流动力学和气候系统模式发展和数值模拟的研究。1943年3月20日生于广东潮阳。1966年毕业于南京气象学院。1983年获英国伦敦大学理学博士学位。1997年当选为中国科学院院士。
吴立新, 物理海洋学家，长期从事大洋环流与气候研究。1966年9月17日出生于安徽省桐城市。1988年毕业于清华大学，1991年和1994年在北京大学先后获硕士和博士学位。2013年当选为中国科学院院士。
伍荣生, 大气科学家，主要从事大气动力理论研究。1934年1月17日生于浙江瑞安。1956年毕业于南京大学大气科学系。1999年当选为中国科学院院士。
夏军," 
水文水资源学家，主要从事水文水资源研究。1954年9月生于湖北省孝感市。1976年毕业于武汉大学（原武汉水利电力学院），1981年获该校陆地水文学硕士学位，1985年获水文学及水资源博士学位。2015年当选为中国科学院院士。
水文水资源学家，主要从事水文水资源研究。1954年9月生于湖北省孝感市。1976年毕业于武汉大学（原武汉水利电力学院），1981年获该校陆地水文学硕士学位，1985年获水文学及水资源博士学位。2015年当选为中国科学院院士。"
肖文交, 地质学家，主要从事造山带沉积大地构造研究。1967年12月生于湖南汉寿。1989年毕业于长春地质学院，1992年中国地质大学(北京)获硕士学位，1995年中国科学院地质研究所获博士学位。2019年当选为中国科学院院士。
肖序常, 构造地质学家，主要从事板块构造及蛇绿岩等研究。1930年10月12日生于贵州安顺。1952年毕业于北京大学地质系。1991年当选为中国科学院学部委员(院士)。
谢树成, 地球生物学家，主要从事地质时期微生物的研究。1967年10月生于浙江省龙游县。1989年毕业于中国地质大学（武汉），1992、1997年分别获该校硕士、博士学位。2021年当选为中国科学院院士。
徐冠华, 资源遥感学家，从事卫星数字图像处理、遥感综合调查与制图的理论和方法等研究。1941年12月16日生于上海。1963年毕业于北京林学院。1991年当选为中国科学院学部委员(院士)。
徐义刚, 岩石学家，主要从事地幔岩石学研究。1966年10月19日生于江苏省常熟市。1987年毕业于浙江大学，1994年在法国巴黎第七大学获博士学位。2017年当选为中国科学院院士。
许志琴, 构造地质学家，主要从事裂谷构造、青藏高原及周缘造山带的变形构造、造山作用及造山机制研究。1941年8月14日生于上海市。1964年毕业于北京大学地质地理系。1987年获法国蒙贝利埃大学构造地质博士学位。1995年当选为中国科学院院士。
杨经绥, 岩石大地构造学家，主要从事青藏高原和造山带的岩石学与大地构造学研究。1950年6月生于浙江省杭州市。1977年毕业于长春地质学院地质勘探系，1992年毕业于加拿大达霍西大学获博士学位。2017年当选为中国科学院院士。
杨树锋," 
构造地质学家，主要从事构造地质学的研究和教育工作。1947年5月生于浙江省杭州市。1975年毕业于南京大学地质学系，1981年和1984年分别获该校硕士和博士学位。2015年当选为中国科学院院士。
构造地质学家，主要从事构造地质学的研究和教育工作。1947年5月生于浙江省杭州市。1975年毕业于南京大学地质学系，1981年和1984年分别获该校硕士和博士学位。2015年当选为中国科学院院士。"
杨文采, 地球物理学家，主要从事地球物理正反演理论方法研究。1942年10月3日生于广东大埔。1964年毕业于北京地质学院。1981年在加拿大McGill大学留学，于1984年取得博士学位。2005年当选为中国科学院院士。
杨元喜," 
大地测量专家，长期从事大地测量理论和应用研究。1956年7月出生于江苏泰县。1980年毕业于郑州测绘学院。1991年获中国科学院测量与地球物理研究博士学位。2007年当选为中国科学院院士。
大地测量专家，长期从事大地测量理论和应用研究。1956年7月出生于江苏泰县。1980年毕业于郑州测绘学院。1991年获中国科学院测量与地球物理研究博士学位。2007年当选为中国科学院院士。"
姚檀栋, 冰川环境与全球变化学家，长期从事青藏高原冰川和环境变化领域研究。1954年7月生于甘肃省通渭县。1978年在兰州大学地质地理系自然地理学专业本科毕业，1982年在该校获自然地理学硕士学位，1986年在中国科学院地理研究所获自然地理学博士学位。2007年当选为中国科学院院士。
姚振兴, 地球物理学家，长期从事地震波的理论和应用研究。1939年4月4日生于上海。1962年毕业于北京大学。1966年中国科学院地球物理研究所研究生毕业。1999年当选为中国科学院院士。
叶大年, 矿物学家，主要从事结构光性矿物学新领域研究、结合矿物材料科学研究。1939年7月21日生于香港。1962年毕业于北京地质学院岩矿专业。1966年中国科学院地质研究所研究生毕业。1991年当选为中国科学院学部委员(院士)。
叶嘉安, 城市规划、地理信息科学、城市地理学家，主要从事人居环境的发展和规划领域研究。1952年10月28日生于香港。1974年毕业于香港大学地理及地质系。1976年获泰国亚洲理工学院硕士学位。1978年和1980年分别获美国纽约州锡拉丘兹大学区域规划硕士及城市规划博士学位。2003年当选为中国科学院院士。
殷鸿福, 地层古生物学及地质学家，主要从事门类古生物学（双壳类、腹足类）、理论古生物学、生物古地理学、古生态学、生态地层学、层序地层学、事件地层学、生物成矿学及历史构造学等领域研究。1935年3月15日生于浙江舟山。1956年毕业于北京地质学院，1961年该校研究生毕业。1993年当选为中国科学院院士。
于贵瑞, 生态系统生态学、环境生态学家，主要从事生态学与自然地理学交叉研究。1959年7月生于辽宁省大连市。1982年毕业于沈阳农业大学农学系，1984年和1993年分别获该校硕士和博士学位，1997年获日本千叶大学博士学位。2019年当选为中国科学院院士。
袁道先, 地质学家，从事我国水电建设、铁路工程地质和农田水利水文地质工程等研究。1933年8月24日生于浙江诸暨。1952年毕业于南京地质探矿专科学校。1991年当选为中国科学院学部委员(院士)。
曾庆存, 气象学和地球流体力学家，从事大气科学、地球流体力学、数值天气预报方法、气候数值模拟和预测理论、遥感和自然控制论等研究。1935年5月4日生于广东阳江。1956年毕业于北京大学物理系。1961年获苏联科学院数理科学副博士学位。1980年当选为中国科学院学部委员(院士)。
翟明国, 地质学家，主要从事前寒武纪地质学、变质地质学和火成岩石学研究。1947年12月24日生于河南济源。1976年毕业于西北大学。1982年和1989年在中国科学院研究生院和中国科学院地质研究所获理学硕士学位和理学博士学位。2009年当选为中国科学院院士。
翟裕生, 矿床学与区域成矿学家，从事矿田构造、金属成矿和区域成矿等研究。1930年2月6日生于河北文安。1952年毕业于北京大学地质系。1957年长春地质学院研究生毕业。1999年当选为中国科学院院士。
张国伟, 构造地质、前寒武纪地质学家，主要从事构造地质与前寒武纪地质研究。1939年1月1日生于河南南阳。1961年毕业于西北大学。1999年当选为中国科学院院士。
张宏福, 岩石地球化学家，主要从事大陆岩石圈地幔地球化学研究。1962年8月出生于陕西省山阳县。1985年毕业于西北大学，1988年在中国地质大学（北京）获硕士学位，1998年在伦敦大学获博士学位。2017年当选为中国科学院院士。
张经, 化学海洋学与海洋生物地球化学家，主要从事对河口、陆架和边缘海的生物地球化学过程研究。1957年10月10日生于内蒙古自治区。1982年在南京大学获学士学位，1985年山东海洋学院获硕士学位，1988于法国皮耶尔·玛丽居里大学获博士学位。2007年当选为中国科学院院士。
